Division,Number of years in build phase,Number of years in growth phase,Number of years in peak phase,Number of years in decline phase,Random Variability,Build rating change,Growth rating change,Peak rating change,Decline rating change,Division effect
0,3,3,5,3,0,5,10,0,-15,0
1,3,3,5,3,0,5,10,0,-15,0
2,3,3,5,3,0,5,10,0,-15,0
